Index,vars,utterance,answer,Fitness_answer_fitness,Fitness_content_fitness,Fitness_distance
0,"[0.7027136667515487, 0.13161440695280913, 0.1940803744284052, 0.11962676395300396, 0.7890979296277368, 0.7043217160394111]","Please guide me to a low-priced hotel with a 4.5-star rating and available parking, using mobile payment.","The most suitable option is Mural Arts Philadelphia, rated 4.5/5, with affordable pricing. Parking and mobile payment details unclear.  

Would you like me to navigate there or refine the search for other preferences?",0.7,0.9249118566513062,-0.0
1,"[0.08453537886899115, 0.05521185163543703, 0.05514591516844347, 0.8568050011840417, 0.02925044255817527, 0.91944722909793]",Please guide me to a high-priced Turkish restaurant with available parking.,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
2,"[0.946233755141764, 0.47602617415260184, 0.6148765713824952, 0.2743161952371829, 0.35613611909080567, 0.5948879628081614]",Failed to generate question due to error 'NoneType' object has no attribute 'replace' of type <class 'AttributeError'>,It seems like there was an error in generating the question. Could you please clarify or rephrase your request?,1.0,0.0,-0.0
3,"[0.3986070437859623, 0.7472078799492146, 0.8760928331233188, 0.20902681078433702, 0.910631810406814, 0.3736898306273759]",Could you guide me to a 3.5-star Indian cafe nearby?,"The closest match is Mood Cafe, rated 4.5/5, serving Indian food at 4618 Baltimore Ave. Shall I navigate there?",0.7,0.9026724696159363,-0.0
4,"[0.8021599699924323, 0.601703265936676, 0.4356944075552103, 0.14679444832253272, 0.6317412849728901, 0.6355550396651736]","Where can I find a highly rated German cafe with medium prices and available parking, cash only?","Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
5,"[0.7546378050216668, 0.49582596326160217, 0.8747443890462125, 0.599906333459238, 0.7693701843168106, 0.235684047378952]",Could you guide me to a hotel that accepts credit card payments and has a 4.5-star rating?,"The best match is Flying Angels, rated 5.0/5, at One International Plz, Ste 550. Credit card policy unclear. Should I navigate there or refine the search for you?",0.7,0.9249118566513062,-0.0
6,"[0.7354511191329953, 0.7261551663412471, 0.8463632434667604, 0.09073287639805389, 0.20885099053760156, 0.6219427193593856]","Guide me to a low-priced hotel accepting mobile payment, rated 4.5.","The closest match is Mural Arts Philadelphia, rated 4.5, but it’s not a hotel. Would you like other options?",0.7,0.9249118566513062,-0.0
7,"[0.5176134376100175, 0.5358560238975769, 0.9806237411400144, 0.5464939538237261, 0.9606144543900195, 0.528043974309446]","I'd like to find a hotel with a 4-star rating and low prices, accepting credit cards.","Leneghan's Crusader Inn is a 5-star-rated, budget-friendly hotel accepting credit cards at 7412 Frankford Ave. Navigate there? Or would you like to explore other options/preferences?",0.7,0.9687078595161438,-0.0
8,"[0.8749011411439308, 0.31825224626585363, 0.45450461094447253, 0.07433852802370947, 0.6313576039850656, 0.9761482575412729]","Where can I find a 5-star hotel with available parking, cash payment?","The closest match is Flying Angels, rated 5.0/5, at One International Plz, Ste 550. Parking and cash payment details unclear.  

Would you like me to navigate there or refine the search for other preferences?",0.7,0.9249118566513062,-0.0
9,"[0.08531613710867665, 0.36619979711643535, 0.7907350616147462, 0.43335548330578705, 0.18883768718152205, 0.5990263758135219]",Take me to a high-priced supermarket with mobile payment and available parking.,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
10,"[0.11683312256767225, 0.5210329657222328, 0.495601609294559, 0.2891667419953389, 0.06667928635166875, 0.4432474841702508]","Take me to a Vietnamese cafe with available parking, cash only.","Cafe Saigon at 827 Adams Ave seems perfect—Vietnamese, affordable, and cash-only. Parking availability isn't listed. Should I navigate there?",0.7,0.832989513874054,-0.0
11,"[0.7707055377728259, 0.6975391805462547, 0.35631123393763964, 0.0073560488817176195, 0.2824723500144413, 0.05260762472367525]","Take me to a low-priced hotel with a 4.5-star rating, contactless payment.","The query doesn't match the provided option, as Mural Arts Philadelphia isn't a hotel. Would you like me to refine the search or assist with other preferences?",0.4,0.9249118566513062,-0.0
12,"[0.052333320709851465, 0.8470619486121356, 0.054078103430258234, 0.8825600127578139, 0.3377926101524913, 0.7574729693390545]",Find a high-priced Vietnamese cafe that accepts mobile payment.,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
13,"[0.4849635802804569, 0.8984641995251235, 0.1387810915418619, 0.7652686355831805, 0.47674188817143137, 0.5671174038617898]",Please find a low-priced hotel accepting mobile payment with a 4-star rating.,"The most suitable option is Mural Arts Philadelphia, rated 4.5/5. It's affordable and centrally located. Navigate there? Any other preferences?",0.7,0.9249118566513062,-0.0
14,"[0.36786414814409746, 0.7320539354774408, 0.2471851587498263, 0.17669589102165156, 0.4871357680170547, 0.2295353591964066]",Take me to a Greek restaurant with mobile payment and 3.5 stars.,"The best match is Greek From Greece, rated 5.0/5 at 107 N 33rd St. Mobile payment availability is unclear. Should I navigate there or refine the search?",0.7,0.9640928506851196,-0.0
15,"[0.14518731628118428, 0.826542194401393, 0.8457040331610282, 0.2848831848259585, 0.4747313421486914, 0.20221045742409893]",Take me to a high-priced Vietnamese cafe that accepts contactless payment.,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
16,"[0.009304168876760485, 0.6674845646175125, 0.12504778891598692, 0.11596642270647686, 0.5224314727581114, 0.8825733267343135]",Where can I find a high-priced supermarket that accepts cash?,"Sorry, I cannot find any relevant places.",0.1,1.0,-0.0
17,"[0.2951592923802544, 0.8030187268465022, 0.6525675152373551, 0.44903848869078683, 0.6470800014744413, 0.13544754325472325]",Where can I find a medium-priced bar with a 3.5 rating and available parking?,"Stokes Sports Bar fits your request: medium-priced ($$), 4.0 rating, and parking available at 2651 S 16th St. Navigate there? Or do you have other preferences?",0.7,0.9390982389450073,-0.0
18,"[0.7850964862336463, 0.4199789464407237, 0.8085560396952365, 0.22395759497896173, 0.7997730908191375, 0.10328014055035112]","Take me to a low-priced hotel with a 4.5-star rating and available parking, mobile payment.","The query doesn't match the provided option, as Mural Arts Philadelphia isn't a hotel. Would you like to refine your search?",0.3,0.9249118566513062,-0.0
19,"[0.06133305544831696, 0.8571559952470984, 0.8177512529839017, 0.8951672613830792, 0.52206130933848, 0.6106481545190322]",Where can I find a high-priced supermarket that accepts mobile payment?,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
20,"[0.0756553757618921, 0.08161304628669115, 0.19807577055033113, 0.0011207652838300247, 0.6871508119512615, 0.9526413177706405]",Where can I make a high-priced mobile payment at a supermarket?,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
21,"[0.7531938293743812, 0.23933766985776284, 0.8122687435574009, 0.5078830668247206, 0.6418222181675527, 0.5445194670166966]",Could you suggest a highly-rated Vietnamese restaurant with a high price range?,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
22,"[0.3190513147867801, 0.8418464755037254, 0.8938454790734561, 0.0680288270510367, 0.20433128857595345, 0.8384845295700527]","Take me to a low-priced Vietnamese cafe with a 3.5-star rating, mobile payment, and available parking.","Cafe Saigon at 827 Adams Ave seems perfect—affordable, 4.0 stars, Vietnamese, with parking and mobile payment. Shall I navigate there?",0.7,0.832989513874054,-0.0
23,"[0.2775627914218178, 0.8475778763825403, 0.1972302191046831, 0.7899223138635958, 0.389008890543, 0.5142638708606416]","Could you guide me to a medium-rated hotel with available parking, accepting cash?","The closest match is Payless Parking, rated 3.5/5 at 6975 Norwitch Dr. However, it's primarily a parking facility, not a hotel. Would you like me to refine the search or navigate there? Let me know if you have other preferences!",0.6,0.9249118566513062,-0.0
24,"[0.047456310319842925, 0.28608389427806447, 0.17781878576242732, 0.8707038837700439, 0.045490883227457424, 0.6287639113856679]",Please guide me to a high-priced Indian cafe with available parking and cash payment.,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
25,"[0.19145326496309445, 0.42480805748851125, 0.5095037527608888, 0.8962995049997424, 0.4944504371038445, 0.5010998440335215]",Please guide me to a high-priced supermarket with available parking.,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
26,"[0.05769416385674691, 0.9758136818210154, 0.09784885234274006, 0.20804739442443576, 0.8929471041211879, 0.12915496913606955]",Take me to a high-priced supermarket with contactless payment and available parking.,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
27,"[0.9002990487833029, 0.7320069082889106, 0.43289521682677623, 0.15645063433039047, 0.45457167304795126, 0.7119217480852735]",Take me to a top-rated hotel with available parking.,"The query doesn't match the listed option, as it's a car service, not a hotel. Would you like me to refine the search or assist with other preferences?",0.3,0.9249118566513062,-0.0
28,"[0.8138295587736657, 0.2384638344646776, 0.3532149836053383, 0.41391991661087013, 0.610542594988999, 0.7305570155570724]",Could you guide me to a highly-rated hotel with mobile payment and available parking?,"The listed option is Enterprise Rent-A-Car, not a hotel. Would you like me to search for other hotels nearby?",0.4,0.9249118566513062,-0.0
29,"[0.02688599630540367, 0.42154321767525704, 0.9091586699388106, 0.0456879604190678, 0.5100183305884718, 0.34761072705007834]",Where can I find a hotel with available parking?,"Payless Parking at 6975 Norwitch Dr offers parking near hotels, rated 3.5/5. Should I navigate you there or explore other options?",0.7,0.9249118566513062,-0.0
30,"[0.1403927334602687, 0.0008178695665968794, 0.9579813406404696, 0.140052873501334, 0.3961659575509858, 0.1352290176995995]",Take me to a high-priced Indian cafe with mobile payment and available parking.,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
31,"[0.9596807817279595, 0.24168576068007122, 0.9460420877069718, 0.5485016639927492, 0.3610476382070632, 0.3163165083248981]",Please guide me to a museum with a 5-star rating and available parking.,Museum Hack is a 5-star-rated spot offering unique tours and activities. Parking info is unclear. Should I navigate there?,0.7,0.7556162178516388,-0.0
32,"[0.9311828404753059, 0.9274953949322379, 0.14535473200600516, 0.501066083980991, 0.6736110865925979, 0.3458872841014045]","Where can I find a 5-star hotel with medium pricing and available parking, contactless payment?","The listed option, Philly Brew Tours, isn't a 5-star hotel. Would you like me to refine the search or adjust preferences?",0.4,0.9249118566513062,-0.0
33,"[0.3273638798233041, 0.7096640549680208, 0.7831530557828299, 0.9345931827503051, 0.5967059489798645, 0.17839721493513355]",Where can I find a high-priced Indian cafe that accepts cash?,"Sorry, I cannot find any relevant places.",0.1,1.0,-0.0
34,"[0.5121898630612278, 0.8297505800468319, 0.23472276376239165, 0.9361335454638736, 0.5163994598769862, 0.4771724082644349]",Where can I find a high-priced Chinese cafe that accepts mobile payment?,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
35,"[0.1405158589734135, 0.5867025128804191, 0.7278392612065796, 0.6477034935720327, 0.8315949771296914, 0.9484486968362504]","Could you guide me to a high-priced Thai cafe with available parking, please?","Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
36,"[0.3769878242993205, 0.831482359518039, 0.04456883221610777, 0.7842860795793404, 0.14809541056984213, 0.18421031490825068]",Find a Vietnamese cafe that accepts mobile payment with a 3.5 rating.,"The only option found is Cafe Mai Vy, rated 5.0, exceeding your 3.5 rating preference. Should I navigate there?",0.7,0.832989513874054,-0.0
37,"[0.046987239974687435, 0.6983455065507606, 0.2854950594839194, 0.10501578134539553, 0.39977433946283714, 0.9610984061668628]",Take me to a high-priced supermarket with credit card payment. Parking available.,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
38,"[0.6376745009095347, 0.5919552404802152, 0.010769151168916885, 0.44296238189495174, 0.2530441840920542, 0.1311977586988302]",Locate a high-priced Mexican cafe with a 4.5-star rating.,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
39,"[0.2863546799003564, 0.38971519936765353, 0.6410638295519342, 0.5016534603939267, 0.22348919183848304, 0.2193197840943686]",Take me to a French restaurant with a 3.5 rating and low prices.,"Sure! Based on your request, I recommend Profi's Crêperie, a French spot with a 4.0 rating and low prices at 51 N 12th St. Would you like me to navigate there, or do you have other preferences in mind?",0.7,0.9640928506851196,-0.0
40,"[0.17125971979496737, 0.8432532641378279, 0.9947874736349567, 0.9917101405118929, 0.7123639500925638, 0.6954187542634146]","Where can I find a high-priced supermarket with available parking, accepting credit card?","Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
41,"[0.9150853749770843, 0.9985651073005717, 0.7655461646314815, 0.6815231331761479, 0.9419286369374604, 0.899924089733281]",Could you guide me to a high-priced bar with a 5-star rating and available parking?,"The closest match is Rebel Yoga Studio, a 5-star spot with $$$ pricing, but it’s not a bar. Would you like me to refine the search or navigate there?",0.7,0.7290890216827393,-0.0
42,"[0.8605462928362771, 0.7639020538228737, 0.3493112323751406, 0.2941492076783596, 0.2601342093039636, 0.5859155706580488]",I need a high-rated hotel that accepts mobile payment.,Apple Hostels is rated 4.0/5 at 32 S Bank St. Mobile payment acceptance is unclear. Should I navigate there or refine the search?,0.7,0.9249118566513062,-0.0
43,"[0.1062809661584709, 0.37059867378648037, 0.35225295426820097, 0.8186038738383749, 0.9980934812372939, 0.875759495324187]",Could you guide me to a high-end supermarket with contactless payment and available parking?,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
44,"[0.12827352563250796, 0.26846378664060144, 0.21951317068378645, 0.025189816652652103, 0.12345185788266114, 0.015748671247833912]",Take me to a high-priced supermarket nearby.,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
45,"[0.0482934918718456, 0.8608833878855086, 0.05968323719665965, 0.545482314532575, 0.9426350697417119, 0.816694643629426]",I'm looking for a high-end supermarket that accepts credit cards.,"Sorry, I cannot find any relevant places.",0.1,1.0,-0.0
46,"[0.0034679871416357227, 0.10249461708602503, 0.9702336161940692, 0.5716478719374085, 0.7774820459091777, 0.9426766405576154]",I'm looking for a high-priced supermarket nearby.,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
47,"[0.9503662321453992, 0.7075811933368954, 0.22784319142693293, 0.4326966648913534, 0.5107377500552488, 0.2696938569437376]",Where can I find a 5-star hotel that accepts cash payment?,"The closest option is Flying Angels, rated 5.0/5, at One International Plz, Ste 550. Payment details unavailable. Should I navigate there or refine the search for cash-accepting 5-star hotels?",0.7,0.9249118566513062,-0.0
48,"[0.7453386101382277, 0.051044395092797484, 0.9541833052701036, 0.3508359651354311, 0.17134982836910942, 0.012763174717822345]","Find a hotel with a 4.5-star rating and medium price range, mobile payment.","The best match is City Food Tours, rated 4.5/5 with a medium price range ($$). Should I navigate there? Or do you have other preferences in mind?",0.4,0.9249118566513062,-0.0
49,"[0.13900404090860133, 0.20222206167397333, 0.4687532345584697, 0.5557371192641288, 0.07486583591241713, 0.6137528266398831]",Please guide me to a high-priced supermarket with mobile payment and available parking.,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
50,"[0.8750395561897427, 0.356717498879872, 0.6662279215542359, 0.03364484067742708, 0.05177697851093582, 0.7794387301093115]",Take me to a high-priced bar with a 5-star rating and available parking.,"The closest match is Rebel Yoga Studio, but it’s a juice bar, not a high-priced bar. Any other preferences?",0.3,0.7290890216827393,-0.0
51,"[0.5963195733538009, 0.5276419646082537, 0.3925096333945862, 0.8670031108576609, 0.7811321099308314, 0.8207510325532308]",I would appreciate directions to a highly-rated hotel that accepts credit card payments.,"The closest highly-rated option is Philadelphia Urban Adventures (4.5/5) at 229 Arch St. However, it's a tour service, not a hotel. Would you like me to refine the search for hotels or assist with something else?",0.4,0.9249118566513062,-0.0
52,"[0.7564015167094351, 0.5956823376466212, 0.35192459486827377, 0.10075555652159962, 0.6440327388239062, 0.9435754516567069]",Where can I find a low-priced Japanese cafe with mobile payment?,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
